location	habitat_type	community	isolate	OD_transferrin	ODrel_transferrin	PVD_transferrin	PVDrel_transferrin	OD_FeCl3	ODrel_FeCl3	OD_dpd	ODrel_dpd	PVDbyOD_tr	PVD_dpd	PVDrel_dpd
Irchel	pond	H	3H18	0.1513	0.8474	27589.4	0.9419	0.7252	0.9937	0.1591	0.4944	182501.1	13752.7	0.5580
Irchel	pond	H	3H19	0.0581	0.3252	4.1	0.0001	0.4679	0.6412	0.0246	0.0764	70.5	17.3	0.0007
Irchel	pond	H	3H20	0.0676	0.3788	0.6	0.0000	0.4438	0.6081	0.0104	0.0322	7.7	13.3	0.0005
Irchel	soil	a	s3a1	0.1082	0.5528	17147.8	0.5985	0.2909	0.4018	0.2156	0.6464	159253.0	4739.3	0.1885
Irchel	soil	a	s3a2	0.0922	0.4709	27578.8	0.9626	0.3667	0.5065	0.1017	0.3051	299885.5	7414.7	0.2949
Irchel	soil	a	s3a3	0.0631	0.3224	8951.8	0.3125	0.4832	0.6675	0.1830	0.5487	141951.7	865.7	0.0344
Irchel	soil	a	s3a4	0.0995	0.5082	2438.5	0.0851	0.7516	1.0383	0.0198	0.0593	25230.4	30.7	0.0012
Irchel	soil	a	s3a5	0.1109	0.5664	8413.2	0.2937	0.7083	0.9785	0.0707	0.2120	75990.4	992.3	0.0395
Irchel	soil	a	s3a6	0.1054	0.5385	28654.2	1.0001	0.3325	0.4594	0.0761	0.2281	273356.4	4495.0	0.1788
Irchel	soil	a	s3a7	0.0825	0.4213	13107.5	0.4575	0.4373	0.6040	0.1462	0.4385	160966.4	9386.7	0.3733
Irchel	soil	a	s3a8	0.1049	0.5359	21624.8	0.7548	0.3020	0.4172	0.1173	0.3518	207280.0	5515.7	0.2193
Irchel	soil	a	s3a9	0.1196	0.6108	17765.2	0.6201	0.4681	0.6466	0.4159	1.2471	148683.3	11476.7	0.4564
Irchel	soil	a	s3a10	0.2316	1.1833	36252.2	1.2653	0.6272	0.8664	0.2950	0.8846	156616.0	20958.0	0.8334
Irchel	soil	a	s3a11	0.1358	0.6939	7809.8	0.2726	0.7327	1.0122	0.0725	0.2173	57548.6	1409.0	0.0560
Irchel	soil	a	s3a12	0.1331	0.6798	18291.2	0.6384	0.4188	0.5785	0.4109	1.2321	141928.8	9055.7	0.3601
Irchel	soil	a	s3a13	0.1224	0.6251	6034.5	0.2106	0.7831	1.0817	0.0460	0.1379	49485.6	137.7	0.0055
Irchel	soil	a	s3a14	0.1203	0.6144	18165.5	0.6340	0.4151	0.5735	0.4195	1.2580	151269.9	9152.0	0.3639
Irchel	soil	a	s3a15	0.2375	1.2135	33463.5	1.1680	0.5465	0.7549	0.3197	0.9588	143478.7	23258.0	0.9249
Irchel	soil	a	s3a16	0.1274	0.6510	17873.2	0.6238	0.4159	0.5745	0.4370	1.3105	140670.0	8862.3	0.3524
Irchel	soil	a	s3a17	0.1080	0.5519	16138.2	0.5633	0.5573	0.7699	0.0357	0.1070	152226.8	534.7	0.0213
Irchel	soil	a	s3a18	0.1210	0.6180	811.5	0.0283	0.6945	0.9593	0.0118	0.0355	6720.1	17.7	0.0007
Irchel	soil	a	s3a19	0.1465	0.7486	16198.5	0.5654	0.4113	0.5682	0.4232	1.2690	113833.9	10684.7	0.4249
Irchel	soil	a	s3a20	0.0758	0.3871	6689.2	0.2335	0.3249	0.4489	0.0125	0.0374	118051.9	117.0	0.0047
Irchel	soil	b	s3b1	0.3294	1.5686	11567.6	0.3905	0.8793	1.2531	0.3590	1.1318	35267.7	7343.7	0.2767
Irchel	soil	b	s3b2	0.0740	0.3522	12480.2	0.4213	0.7176	1.0227	0.1809	0.5703	168668.3	12550.5	0.4729
Irchel	soil	b	s3b3	0.0828	0.3945	0.2	0.0000	0.5372	0.7656	0.1747	0.5507	2.4	7.3	0.0003
Irchel	soil	b	s3b4	0.0765	0.3645	9382.2	0.3168	0.7078	1.0087	0.1642	0.5178	123644.3	2587.3	0.0975
Irchel	soil	b	s3b5	0.0907	0.4321	426.6	0.0144	0.5303	0.7557	0.0214	0.0674	4833.0	63.3	0.0024
Irchel	soil	b	s3b6	0.1201	0.5717	5894.2	0.1990	0.7048	1.0044	0.0484	0.1526	49175.9	61.3	0.0023
Irchel	soil	b	s3b7	0.1658	0.7897	27133.6	0.9161	0.5726	0.8161	0.1014	0.3196	169932.7	177.3	0.0067
